"92"  ,"107" ,"0","11" ,"2017-04-01","2017-04-01",                                                                    ,                                                                                ,,,
"93"  ,"80"  ,"0","11" ,"2017-02-02","2017-02-02",                                                                    ,                                                                                ,,,
"94"  ,"106" ,"0","11" ,"2017-04-01","2017-04-01",                                                                    ,                                                                                ,,,
"95"  ,"85"  ,"0","8"  ,"2017-02-23","2017-02-23",                                                                    ,                                                                                ,,,
"96"  ,"86"  ,"0","8"  ,"2017-02-23","2017-02-23",                                                                    ,                                                                                ,,,
"97"  ,"84"  ,"0","8"  ,"2017-02-23","2017-02-23",                                                                    ,                                                                                ,,,
"98"  ,"125" ,"0","10" ,"2017-05-24","2017-05-24",                                                                    ,                                                                                ,,,
"99"  ,"90"  ,"0","0"  ,"2016-11-24","2016-11-24",                                                                    ,                                                                                ,,,
"100" ,"4"   ,"0","0"  ,"2016-01-04","2016-01-04",                                                                    ,                                                                                ,,,
"101" ,"2"   ,"0","0"  ,"2016-01-04","2016-01-04",                                                                    ,                                                                                ,,,
"102" ,"5"   ,"0","0"  ,"2016-01-04","2016-01-04",                                                                    ,                                                                                ,,,
"103" ,"3"   ,"0","0"  ,"2016-01-04","2016-01-04",                                                                    ,                                                                                ,,,
"104" ,"203" ,"0","10" ,"2017-08-11","2017-08-11",                                                                    ,                                                                                ,,,
"105" ,"204" ,"0","10" ,"2017-08-11","2017-08-11",                                                                    ,                                                                                ,,,
"106" ,"55"  ,"0","11" ,"2016-11-07","2016-11-07",                                                                    ,                                                                                ,,,
"107" ,"54"  ,"0","11" ,"2016-11-07","2016-11-07",                                                                    ,                                                                                ,,,
"108" ,"196" ,"0","21" ,"2017-08-11","2017-08-11",                                                                    ,                                                                                ,,,
"109" ,"67"  ,"0","13" ,"2016-12-09","2016-12-09",                                                                    ,                                                                                ,,,
"110" ,"65"  ,"0","13" ,"2016-12-09","2016-12-09",                                                                    ,                                                                                ,,,
"111" ,"66"  ,"0","13" ,"2016-12-09","2016-12-09",                                                                    ,                                                                                ,,,
"112" ,"64"  ,"0","13" ,"2016-12-09","2016-12-09",                                                                    ,                                                                                ,,,
"113" ,"53"  ,"0","22" ,"2016-09-28","2016-09-28",                                                                    ,                                                                                ,,,
"114" ,"214" ,"0","13" ,"2017-07-11","2017-07-11",                                                                    ,                                                                                ,,,
"115" ,"219" ,"0","13" ,"2017-08-30","2017-08-30",                                                                    ,                                                                                ,,,
"116" ,"148" ,"0","13" ,"2017-05-25","2017-05-25",                                                                    ,                                                                                ,,,
"117" ,"217" ,"0","13" ,"2017-08-23","2017-08-23",                                                                    ,                                                                                ,,,
"118" ,"136" ,"0","13" ,"2017-06-08","2017-06-08",                                                                    ,                                                                                ,,,
"119" ,"215" ,"0","13" ,"2017-07-11","2017-07-11",                                                                    ,                                                                                ,,,
"120" ,"220" ,"0","13" ,"2017-08-30","2017-08-30",                                                                    ,                                                                                ,,,
"121" ,"218" ,"0","13" ,"2017-07-26","2017-07-26",                                                                    ,                                                                                ,,,
"122" ,"216" ,"0","13" ,"2017-08-23","2017-08-23",                                                                    ,                                                                                ,,,
"123" ,"221" ,"0","13" ,"2017-08-30","2017-08-30",                                                                    ,                                                                                ,,,
"124" ,"63"  ,"0","11" ,"2016-10-21","2016-10-21",                                                                    ,                                                                                ,,,
"125" ,"62"  ,"0","11" ,"2016-10-21","2016-10-21",                                                                    ,                                                                                ,,,
"126" ,"13"  ,"0","0"  ,"2016-04-01","2016-04-01",                                                                    ,                                                                                ,,,
"127" ,"229" ,"0","10" ,"2017-07-20","2017-07-20",                                                                    ,                                                                                ,,,
"128" ,"17"  ,"0","11" ,"2016-05-23","2016-05-23",                                                                    ,                                                                                ,,,
"129" ,"16"  ,"0","22" ,"2016-05-23","2016-05-23",                                                                    ,                                                                                ,,,
"130" ,"26"  ,"0","22" ,"2016-06-28","2016-06-28",                                                                    ,                                                                                ,,,
"131" ,"212" ,"0","10" ,"2017-08-31","2017-08-31",                                                                    ,                                                                                ,,,
"132" ,"211" ,"0","10" ,"2017-08-30","2017-08-30",                                                                    ,                                                                                ,,,
"133" ,"207" ,"0","10" ,"2017-08-11","2017-08-11",                                                                    ,                                                                                ,,,
"134" ,"208" ,"0","10" ,"2017-08-11","2017-08-11",                                                                    ,                                                                                ,,,
"135" ,"197" ,"0","0"  ,"2017-07-29","2017-07-29",                                                                    ,                                                                                ,,,
"136" ,"88"  ,"0","22" ,"2017-03-09","2017-03-09",                                                                    ,                                                                                ,,,
"137" ,"49"  ,"0","11" ,"2016-10-05","2016-10-05",                                                                    ,                                                                                ,,,
"138" ,"89"  ,"0","11" ,"2017-03-02","2017-03-02",                                                                    ,                                                                                ,,,
"139" ,"50"  ,"0","11" ,"2016-10-05","2016-10-05",                                                                    ,                                                                                ,,,
"140" ,"116" ,"0","23" ,"2017-05-18","2017-05-18",                                                                    ,                                                                                ,,,
"141" ,"118" ,"0","21" ,"2017-05-18","2017-05-18",                                                                    ,                                                                                ,,,
"142" ,"117" ,"0","23" ,"2017-05-18","2017-05-18",                                                                    ,                                                                                ,,,
"143" ,"37"  ,"0","0"  ,"2016-08-19","2016-08-19",                                                                    ,                                                                                ,,,
"144" ,"51"  ,"0","22" ,"2016-10-21","2016-10-21",                                                                    ,                                                                                ,,,
"145" ,"12"  ,"0","11" ,"2016-04-04","2016-04-04",                                                                    ,                                                                                ,,,
"146" ,"169" ,"0","8"  ,"2017-07-11","2017-07-11",                                                                    ,                                                                                ,,,
"147" ,"72"  ,"0","10" ,"2016-10-14","2016-10-14",                                                                    ,                                                                                ,,,
"148" ,"14"  ,"0","11" ,"2016-05-05","2016-05-05",                                                                    ,                                                                                ,,,
"149" ,"15"  ,"0","11" ,"2016-05-02","2016-05-02",                                                                    ,                                                                                ,,,
"150" ,"126" ,"0","10" ,"2016-11-01","2016-11-01",                                                                    ,                                                                                ,,,
"151" ,"115" ,"0","0"  ,"2017-04-27","2017-04-27",                                                                    ,                                                                                ,,,
"152" ,"48"  ,"0","11" ,"2016-09-12","2016-09-12",                                                                    ,                                                                                ,,,
